line_id,line_name_cn,direction,station_order,station_name
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,1,湘湖
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,2,滨康路
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,3,西兴
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,4,滨和路
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,5,江陵路
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,6,近江
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,7,婺江路
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,8,城站
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,9,定安路
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,10,龙翔桥
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,11,凤起路
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,12,武林广场
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,13,西湖文化广场
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,14,打铁关
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,15,闸弄口
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,16,火车东站
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,17,彭埠
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,18,七堡
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,19,九和路
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,20,九堡
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,21,客运中心
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,22,下沙西
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,23,金沙湖
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,24,高沙路
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,25,文泽路
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,26,文海南路
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,27,云水
line1_xianghu_to_xiashajiangbin,地铁1号线,湘湖-下沙江滨,28,下沙江滨
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,1,下沙江滨
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,2,云水
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,3,文海南路
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,4,文泽路
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,5,高沙路
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,6,金沙湖
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,7,下沙西
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,8,客运中心
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,9,九堡
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,10,九和路
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,11,七堡
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,12,彭埠
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,13,火车东站
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,14,闸弄口
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,15,打铁关
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,16,西湖文化广场
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,17,武林广场
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,18,凤起路
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,19,龙翔桥
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,20,定安路
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,21,城站
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,22,婺江路
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,23,近江
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,24,江陵路
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,25,滨和路
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,26,西兴
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,27,滨康路
line1_xiashajiangbin_to_xianghu,地铁1号线,下沙江滨-湘湖,28,湘湖
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,1,良渚
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,2,杜甫村
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,3,白洋
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,4,金家渡
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,5,墩祥街
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,6,三墩
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,7,虾龙圩
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,8,三坝
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,9,文新
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,10,丰潭路
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,11,古翠路
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,12,学院路
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,13,下宁桥
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,14,沈塘桥
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,15,武林门
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,16,凤起路
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,17,中河北路
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,18,建国北路
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,19,庆菱路
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,20,庆春广场
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,21,钱江路
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,22,钱江世纪城
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,23,盈丰路
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,24,飞虹路
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,25,振宁路
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,26,建设三路
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,27,建设一路
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,28,人民广场
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,29,杭发厂
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,30,人民路
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,31,潘水
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,32,曹家桥
line2_liangzhu_to_chaoyang,地铁2号线,良渚-朝阳,33,朝阳
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,1,朝阳
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,2,曹家桥
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,3,潘水
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,4,人民路
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,5,杭发厂
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,6,人民广场
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,7,建设一路
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,8,建设三路
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,9,振宁路
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,10,飞虹路
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,11,盈丰路
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,12,钱江世纪城
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,13,钱江路
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,14,庆春广场
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,15,庆菱路
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,16,建国北路
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,17,中河北路
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,18,凤起路
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,19,武林门
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,20,沈塘桥
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,21,下宁桥
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,22,学院路
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,23,古翠路
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,24,丰潭路
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,25,文新
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,26,三坝
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,27,虾龙圩
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,28,三墩
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,29,墩祥街
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,30,金家渡
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,31,白洋
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,32,杜甫村
line2_chaoyang_to_liangzhu,地铁2号线,朝阳-良渚,33,良渚
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,1,彭埠
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,2,火车东站
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,3,新风
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,4,新塘
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,5,景芳
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,6,钱江路
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,7,江锦路
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,8,市民中心
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,9,城星路
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,10,近江
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,11,甬江路
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,12,南星桥
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,13,复兴路
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,14,水澄桥
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,15,联庄
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,16,中医药大学
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,17,杨家墩
line4_pengbu_to_puyan,地铁4号线,彭埠-浦沿,18,浦沿
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,1,浦沿
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,2,杨家墩
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,3,中医药大学
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,4,联庄
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,5,水澄桥
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,6,复兴路
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,7,南星桥
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,8,甬江路
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,9,近江
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,10,城星路
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,11,市民中心
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,12,江锦路
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,13,钱江路
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,14,景芳
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,15,新塘
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,16,新风
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,17,火车东站
line4_puyan_to_pengbu,地铁4号线,浦沿-彭埠,18,彭埠
line9_keyunzhongxin_to_linping,地铁9号线,客运中心-临平,1,客运中心
line9_keyunzhongxin_to_linping,地铁9号线,客运中心-临平,2,乔司南
line9_keyunzhongxin_to_linping,地铁9号线,客运中心-临平,3,乔司
line9_keyunzhongxin_to_linping,地铁9号线,客运中心-临平,4,翁梅
line9_keyunzhongxin_to_linping,地铁9号线,客运中心-临平,5,临平南高铁站
line9_keyunzhongxin_to_linping,地铁9号线,客运中心-临平,6,南苑
line9_keyunzhongxin_to_linping,地铁9号线,客运中心-临平,7,临平
line9_linping_to_keyunzhongxin,地铁9号线,临平-客运中心,1,临平
line9_linping_to_keyunzhongxin,地铁9号线,临平-客运中心,2,南苑
line9_linping_to_keyunzhongxin,地铁9号线,临平-客运中心,3,临平南高铁站
line9_linping_to_keyunzhongxin,地铁9号线,临平-客运中心,4,翁梅
line9_linping_to_keyunzhongxin,地铁9号线,临平-客运中心,5,乔司
line9_linping_to_keyunzhongxin,地铁9号线,临平-客运中心,6,乔司南
line9_linping_to_keyunzhongxin,地铁9号线,临平-客运中心,7,客运中心
